1.000000+6 1.316777-5
1.500000+6 3.713379-5
2.000000+6 8.012298-5
2.500000+6 1.487596-4
3.000000+6 2.509140-4
3.500000+6 3.961693-4
4.000000+6 5.964577-4
4.500000+6 8.669495-4
5.000000+6 1.227309-3
5.500000+6 1.703418-3
6.000000+6 2.329513-3
6.500000+6 3.150071-3
7.000000+6 4.218853-3
7.500000+6 5.588210-3
8.000000+6 7.279766-3
8.500000+6 9.254749-3
9.000000+6 1.146860-2
9.500000+6 1.402288-2
1.000000+7 1.720366-2
1.050000+7 2.136940-2
1.100000+7 2.689407-2
1.150000+7 3.419580-2
1.200000+7 4.376878-2
1.250000+7 5.616903-2
1.300000+7 7.191907-2
1.350000+7 9.128074-2
1.400000+7 1.138253-1
1.450000+7 1.378022-1
1.500000+7 1.597244-1
1.550000+7 1.751244-1
1.600000+7 1.807897-1
1.650000+7 1.767313-1
1.700000+7 1.658375-1
1.750000+7 1.518281-1
1.800000+7 1.375858-1
1.850000+7 1.246374-1
1.900000+7 1.133193-1
1.950000+7 1.031990-1
2.000000+7 9.367555-2
2.100000+7 7.576042-2
2.200000+7 6.104036-2
2.300000+7 5.001848-2
2.400000+7 4.186954-2
2.500000+7 3.572032-2
2.600000+7 3.095690-2
2.700000+7 2.717804-2
2.800000+7 2.412026-2
2.900000+7 2.160624-2
3.000000+7 1.951313-2
3.200000+7 1.626267-2
3.400000+7 1.390674-2
3.600000+7 1.217400-2
3.800000+7 1.089073-2
4.000000+7 9.938124-3
4.200000+7 9.231224-3
4.400000+7 8.707603-3
4.600000+7 8.320704-3
4.800000+7 8.035537-3
5.000000+7 7.825709-3
5.200000+7 7.671280-3
5.400000+7 7.557173-3
5.600000+7 7.471989-3
5.800000+7 7.407110-3
6.000000+7 7.356029-3
6.200000+7 7.313844-3
6.400000+7 7.276873-3
6.600000+7 7.242364-3
6.800000+7 7.208280-3
7.000000+7 7.173128-3
7.200000+7 7.135838-3
7.400000+7 7.095662-3
7.600000+7 7.052102-3
7.800000+7 7.004854-3
8.000000+7 6.953763-3
8.500000+7 6.809180-3
9.000000+7 6.642016-3
9.500000+7 6.455621-3
1.000000+8 6.254297-3
1.100000+8 5.825880-3
1.200000+8 5.395217-3
1.300000+8 4.999282-3
1.400000+8 4.672359-3
1.500000+8 4.266630-3
1.600000+8 3.916317-3
1.700000+8 3.611363-3
1.800000+8 3.343951-3
1.900000+8 3.107920-3
2.000000+8 2.898350-3
